en,cn,ar,pos,,
Where is the train to *?,到*的火车在哪？,أن القطار المتجه إلى *؟,vp,,
Where is the transfer desk?,转机柜台在哪儿?,,sent,,
Where would you like to go for dinner?,你想在哪儿吃饭呢?,,sent,,
Where would you prefer to sit?,你喜欢坐在哪里?,,sent,,
Where?,哪里？,اين؟,sent,,
Where's the meat counter?,肉柜台在哪里?,,sent,,
Which aisle are the canned goods at?,罐头产品在哪条通道?,,sent,,
Which date would you that be?,要订在哪个日期?,,sent,,
Which direction?,哪个方向？,بأي اتجاه؟,sent,,
Which is the movie channel?,哪个是电影频道?,,sent,,
Which restaurant do you recommend?,你推荐哪家餐厅呢?,,sent,,
Which station are we at?,我们在哪一站？,نحن في أي محطة؟,sent,,
"Which would you like for dinner, beef, chicken or fish?",晚餐想吃牛肉、鸡肉还是鱼?,,sent,,
"Which would you prefer, first class or economy?",你喜欢哪种，头等舱还是经济舱?,,sent,,
Whirlpool,热水漩涡池,,sent,,
whiskey,威士忌,شراب الويسكي,np,,
white,白色,أبيض,adj,,
white wine,白酒,نبيذ أبيض,np,,
Who?,谁？,من؟,sent,,
Why do you like coffee shop?,你为什么喜欢咖啡店?,,sent,,
Why does this happen to me when I am on the plane? I feel bad.,为什么在飞机上会有这种感觉? 我感觉很难受。,,sent,,
Why don't you wrap his steak up?,你为什么不打包他的牛排?,,sent,,
Why is it taking so long for the food to arrive?,为什么上餐要这么久?,,sent,,
Why is it taking so long?,为什么会这么久?,,sent,,
Why?,为什么？,لماذا؟,sent,,
wife,妻子,,np,,
Wifi Is Available In Public Area In The Hotel.,在酒店的公共场所可以登陆无线英特网。,,sent,,
Will there be any change in your room type? Your reservation is for a twin room.,您需要变化你的房间类型吗？你预定的是一间双人床的。,,sent,,
Will this be a one-way trip?,您要单程票吗?,,sent,,
Will this table be all right?,这张桌行吗?,,sent,,
Will you give me some discount on tickets?,机票能给我折扣吗?,,sent,,
Will you please put your suitcase and that box on the belt?,请把你的手提箱和那个盒子放在传送带上好吗?,,sent,,
Windsor,温莎,ويندسور,np,,
wineglass,酒杯,,np,,
Winnipeg,温尼伯,وينيبيغ,np,,
wipe your shoes and boots,请擦去鞋上的泥土,,np,,
women,女人,نساء,np,,
women's bathroom,女厕,,np,,
work,工作,عمل,np,,
work experience,工作经历,,np,,
worker,工人,,np,,
Would it be possible for us to trade seats?,我们可以交换座位吗?,,sent,,
Would you like a cup of tea or coffee?,要茶还是咖啡呢?,,sent,,
Would you like a high chair for your baby?,您想要一个高脚椅给婴儿吗?,,sent,,
Would you like me to bring a baby chair?,您需要我拿个婴儿椅吗?,,sent,,
Would you like some cream in your coffee?,你的咖啡要加点奶油吗?,,sent,,
Would you like some tea or coffee?,喝茶还是喝咖啡？,,sent,,
Would you like the smoking or non-smoking section?,您喜欢吸烟区还是非吸烟区?,,sent,,
Would you mind hurrying?,你们能快点吗?,,sent,,
Would you mind waiting until one is free?,您介意等一下空出桌子吗?,,sent,,
Would you please bring me a knife and fork?,能给我拿副刀叉吗?,,sent,,
Would you please help me to get my boarding pass?,可以帮我换登机牌吗?,,sent,,
Would you please make my reservation to * for tomorrow?,请帮我预订明天去*的机票好吗?,,sent,,
Would you please serve a little quicker?,能上菜快点吗?,,sent,,
Would you please show me your ticket and boarding pass?,请出示一下你的机票和登机牌好吗?,,sent,,
"Would you please tell me your name, telephone and ID number?",能告诉我你的名字、手机号和身份证号码吗?,,sent,,
Would you prefer a window seat or an aisle seat?,你想要一个靠窗的位子，还是靠过道的?,,sent,,
Would you prefer sitting inside or outside?,您比较喜欢做里面还是外面?,,sent,,
Would you take a seat over there and I will call you when a table is free?,您能在那边的座位上等一下，当有空桌时我会通知您好吗?,,sent,,
"Wrap the steak up for him, so he'll take it with.",打包这份牛排，他要带走。,,sent,,
wrist,手腕,معصم,np,,
writing paper,纸,ورق للكتابة,np,,
Wuhan,武汉,ووهان,np,,
Yangon,仰光,يانجون,np,,
Yeah.,是的。,نعم.,vp,,
year,年,,np,,
yellow,黄色,أصفر,adj,,
Yemen,也门,اليمن,np,,
"Yes, I'll check to see if there's any space left.",好，我查查看还有没有剩余位置。,,sent,,
"Yes, please.",是，谢谢,نعم من فضلك,sent,,
"Yes, sir. How can I help you?",来了，先生。有什么需要帮忙的?,,sent,,
"Yes, there is.",有的。,,sent,,
"Yes, we do. They're right in front of you.",有的，就在你面前。,,sent,,
Yes.,是,نعم.,sent,,
yesterday,昨天,البارحة,np,,
yield,让路,ينتج,vp,,
you,你,أنت,np,,
you (p),你们,أنتم,np,,
You are welcome. Please press the button when you need any help.,不客气。如果需要什么帮助，请按按钮。,,sent,,
You can also turn down the air-conditioner.,你还可以调小空调。,,sent,,
You can either take out something or pay the excess baggage charge.,您可以把一些东西拿出来，或者付行李超重费。,,sent,,
You can go to the flight connection counter.,您可以去转机柜台。,,sent,,
You can place the baggage under the seat in front of you.,您可以将行李放在前面的座位下面。,,sent,,
You can surf the Internet while enjoying your coffee.,你在品尝咖啡的时候可以浏览网络。,,sent,,
You can take some airsick pills.,您可以吃点晕机药。,,sent,,
You can take your baggage now.,您可以拿行李了。,,sent,,
You can't have any liquid with you.,您不能携带任何液体。,,sent,,
You can't take it with you into the aircraft.,您不能把它带上飞机。,,sent,,
You have a lot of baggage.,您有好多行李。,,sent,,
You have a problem with your attitude.,你的态度有问题。,,sent,,
You have to be there * hours before departure time.,你要在飞机起飞前两个小时到达那里。,,sent,,
You have to be there half an hour before departure time.,你应该在飞机起飞之前半个小时到那。,,sent,,
You look familiar.,你看起来很眼熟。,,sent,,
You look like one of my friends.,你看起来像我的一个朋友。,,sent,,
You look like someone I know.,你看起来像我认识的一个人。,,sent,,
You may check in at the self-service kiosk area in zones *,你可以在G和H区自助服务亭办理登机手续。,,sent,, 
You may choose from the fish and beef.,你可以选择鱼或者是牛肉。,,sent,,
You may feel much better if you chew some gum or peanuts.,如果嚼点口香糖或花生会感觉舒服些。,,sent,,
You may go now. Please take your things.,你可以走了，带好你的东西。,,sent,,
You may look at the menu first and decide what you like to have.,请先看看菜单再决定点什么菜。,,sent,,
You must be tired after such a long flight.,经过长途飞行后你一定累了。,,sent,,
You need to transfer at *.,你需要在*转机。,,vp,,
You should have a sign. That way people could identify which are organic and which aren't.,你们应该要有标识，让顾客知道哪些是有机蔬菜，那些不是。,,sent,,
You'll be boarding at Gate *,请将在*号登机门登机。,,vp,,
You'll have to get there by * at the latest.,最晚*到。,,vp,,
You're cheating me.,你在骗我。,أنت تغشني,sent,,
You're welcome.,不客气。,على الرحب والسعة,sent,,
younger brother,弟弟,أخ صغير,np,,
younger sister,妹妹,أخت صغيرة,np,,
Your baggage is overweight.,你的行李超重了。,,sent,,
Your Comfort Is Our Priority.,您的满意就是我们的宗旨。,,sent,,
Your dishes are ready.,您的菜准备好了。,,sent,,
Your flight number is *。,您的航班号是B*。,رقم رحلتك الجوية هو *.,vp,,
Your food is being cooked. I'm afraid it's too late to cancel it.,你的食物正在做，恐怕取消太晚了。,,sent,,
Your hat and scart can be hung here.,您的帽子和围巾可以挂在这儿。,,sent,,
Your luggage will be trasferred to your next plane.,您的行李将会转到下一班飞机上。,,sent,,
Your meal is on the house.,你的餐点由饭店出钱。,,sent,,
"Your meal, we're really sorry for the delay.",你的菜，我们真的很抱歉耽搁了。,,sent,,
Your seat is confirmed on flight number * leaving at *。,您的机位以确定，航班号为*，*起飞。,,vp,,
Your seat is in the middle of the cabin.,您的座位在客舱的中部。,,sent,,
Your staff was rude.,你的工作人员很粗鲁。,الموظفين كانوا فظين,sent,,
Your ticket is in order now.,您的机票现在完全办妥了。,تذكرتك مرتبة الآن.,sent,,
youth hostel,青年旅馆,بيوت الشباب,np,,
Zagreb,萨格勒布,زغرب,np,,
Zambia,赞比亚,زامبيا,np,,
zero,零,صفر,num,,
Zimbabwe,津巴布韦,زيمبابوي,np,,
Zurich,苏黎世,زيوريخ,np,,
,,,sent,,
,,,sent,,
You can surf the Internet while enjoying your coffee.,你在品尝咖啡的时候可以浏览网络。,,sent,,
You can take some airsick pills.,您可以吃点晕机药。,,sent,,
You can take your baggage now.,您可以拿行李了。,,sent,,
You can't have any liquid with you.,您不能携带任何液体。,,sent,,
You can't take it with you into the aircraft.,您不能把它带上飞机。,,sent,,
You have a lot of baggage.,您有好多行李。,,sent,,
You have a problem with your attitude.,你的态度有问题。,,sent,,
You have to be there * hours before departure time.,你要在飞机起飞前两个小时到达那里。,,sent,,
You have to be there half an hour before departure time.,你应该在飞机起飞之前半个小时到那。,,sent,,
You look familiar.,你看起来很眼熟。,,sent,,
You look like one of my friends.,你看起来像我的一个朋友。,,sent,,
You look like someone I know.,你看起来像我认识的一个人。,,sent,,
You may check in at the self-service kiosk area in zones *,你可以在G和H区自助服务亭办理登机手续。,,sent,,
You may choose from the fish and beef.,你可以选择鱼或者是牛肉。,,sent,,
You may feel much better if you chew some gum or peanuts.,如果嚼点口香糖或花生会感觉舒服些。,,sent,,
You may go now. Please take your things,.你可以走了，带好你的东西。,,sent,,
You may look at the menu first and decide what you like to have.,请先看看菜单再决定点什么菜。,,sent,,
You must be tired after such a long flight.,经过长途飞行后你一定累了。,,sent,,
You need to transfer at *.,你需要在*转机。,,vp,,
You should have a sign. That way people could identify which are organic and which aren't.,你们应该要有标识，让顾客知道哪些是有机蔬菜，那些不是。,,sent,,
You'll be boarding at Gate *,请将在*号登机门登机。,,vp,,
You'll have to get there by * at the latest.,最晚*到。,,vp,,
You're cheating me.,你在骗我。,أنت تغشني,sent,,
You're welcome.,不客气。,على الرحب والسعة,sent,,
younger brother,弟弟,أخ صغير,np,,
younger sister,妹妹,أخت صغيرة,np,,
Your baggage is overweight.,你的行李超重了。,حقيبتك أثقل مما ينبغي.,sent,,
Your Comfort Is Our Priority.,您的满意就是我们的宗旨。,راحتكم هي أولويتنا.,sent,,
Your dishes are ready.,您的菜准备好了。,أطباقك جاهزة.,sent,,
Your flight number is *。,您的航班号是B*。,رقم رحلتك هو *.,vp,,
Your food is being cooked. I'm afraid it's too late to cancel it.,你的食物正在做，恐怕取消太晚了。,يتم طهي الطعام الخاص بك. أخشى أنه فات الأوان لإلغائه.,sent,,
Your hat and scart can be hung here.,您的帽子和围巾可以挂在这儿。,يمكن تعليق القبعة والوشاح هنا.,sent,,
Your luggage will be trasferred to your next plane.,您的行李将会转到下一班飞机上。,سيتم نقل أمتعتك إلى الطائرة القادمة.,sent,,
